Observation id,2020-04-09T16_04_47,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,/Users/Anna/Desktop/Actual video2020-04-09T16_04_47.avi,,,,,,,
,,,,,,,,
Observation date,2020-05-24 13:12:33,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
194.700,/Users/Anna/Desktop/Actual video2020-04-09T16_04_47.avi,259.500,30.0,,Other Behavior,,,POINT
194.733,/Users/Anna/Desktop/Actual video2020-04-09T16_04_47.avi,259.500,30.0,,Walking,,,POINT
195.267,/Users/Anna/Desktop/Actual video2020-04-09T16_04_47.avi,259.500,30.0,,Other Behavior,,,POINT
195.300,/Users/Anna/Desktop/Actual video2020-04-09T16_04_47.avi,259.500,30.0,,Walking,,,POINT
195.533,/Users/Anna/Desktop/Actual video2020-04-09T16_04_47.avi,259.500,30.0,,Quiet,,,POINT
197.133,/Users/Anna/Desktop/Actual video2020-04-09T16_04_47.avi,259.500,30.0,,Other Behavior,,,POINT
197.167,/Users/Anna/Desktop/Actual video2020-04-09T16_04_47.avi,259.500,30.0,,Walking,,,POINT
197.267,/Users/Anna/Desktop/Actual video2020-04-09T16_04_47.avi,259.500,30.0,,Quiet,,,POINT
199.467,/Users/Anna/Desktop/Actual video2020-04-09T16_04_47.avi,259.500,30.0,,Walking,,,POINT
201.400,/Users/Anna/Desktop/Actual video2020-04-09T16_04_47.avi,259.500,30.0,,Quiet,,,POINT
202.500,/Users/Anna/Desktop/Actual video2020-04-09T16_04_47.avi,259.500,30.0,,Walking,,,POINT
203.733,/Users/Anna/Desktop/Actual video2020-04-09T16_04_47.avi,259.500,30.0,,Quiet,,,POINT
210.067,/Users/Anna/Desktop/Actual video2020-04-09T16_04_47.avi,259.500,30.0,,Walking,,,POINT
211.200,/Users/Anna/Desktop/Actual video2020-04-09T16_04_47.avi,259.500,30.0,,Quiet,,,POINT
212.333,/Users/Anna/Desktop/Actual video2020-04-09T16_04_47.avi,259.500,30.0,,Walking,,,POINT
213.067,/Users/Anna/Desktop/Actual video2020-04-09T16_04_47.avi,259.500,30.0,,Clap,,,POINT
213.100,/Users/Anna/Desktop/Actual video2020-04-09T16_04_47.avi,259.500,30.0,,Walking,,,POINT
214.800,/Users/Anna/Desktop/Actual video2020-04-09T16_04_47.avi,259.500,30.0,,Quiet,,,POINT
215.833,/Users/Anna/Desktop/Actual video2020-04-09T16_04_47.avi,259.500,30.0,,Walking,,,POINT
217.033,/Users/Anna/Desktop/Actual video2020-04-09T16_04_47.avi,259.500,30.0,,Quiet,,,POINT
220.000,/Users/Anna/Desktop/Actual video2020-04-09T16_04_47.avi,259.500,30.0,,Walking,,,POINT
221.167,/Users/Anna/Desktop/Actual video2020-04-09T16_04_47.avi,259.500,30.0,,Quiet,,,POINT
252.200,/Users/Anna/Desktop/Actual video2020-04-09T16_04_47.avi,259.500,30.0,,Walking,,,POINT
253.433,/Users/Anna/Desktop/Actual video2020-04-09T16_04_47.avi,259.500,30.0,,Quiet,,,POINT
